step,time_s,vehicle_id_leader,leader_lane_pos_m,vehicle_id_follower,follower_lane_pos_m,leader_speed_mps,follower_speed_mps,gap_m,safe_dist_m,action
534,53.500,leader,210.480,follower,201.610,2.723,1.957,8.870,7.383,Leader: cruise | Follower: follow
535,53.600,leader,210.761,follower,201.815,2.817,2.057,8.946,7.527,Leader: cruise | Follower: follow
536,53.700,leader,211.052,follower,202.026,2.902,2.103,9.026,7.594,Leader: cruise | Follower: follow
537,53.800,leader,211.349,follower,202.241,2.979,2.153,9.108,7.669,Leader: cruise | Follower: follow
538,53.900,leader,211.657,follower,202.474,3.076,2.329,9.183,7.931,Leader: cruise | Follower: follow
539,54.000,leader,211.973,follower,202.707,3.163,2.335,9.266,7.940,Leader: cruise | Follower: follow
540,54.100,leader,212.296,follower,202.952,3.229,2.447,9.344,8.112,Leader: cruise | Follower: follow
541,54.200,leader,212.628,follower,203.213,3.314,2.612,9.414,8.371,Leader: cruise | Follower: follow
542,54.300,leader,212.966,follower,203.472,3.386,2.586,9.494,8.329,Leader: cruise | Follower: follow
543,54.400,leader,213.312,follower,203.740,3.454,2.678,9.572,8.475,Leader: cruise | Follower: follow
544,54.500,leader,213.664,follower,204.016,3.528,2.760,9.649,8.607,Leader: cruise | Follower: follow
545,54.600,leader,214.024,follower,204.302,3.596,2.865,9.722,8.777,Leader: cruise | Follower: follow
546,54.700,leader,214.392,follower,204.593,3.676,2.910,9.799,8.851,Leader: cruise | Follower: follow
547,54.800,leader,214.766,follower,204.890,3.743,2.967,9.876,8.945,Leader: cruise | Follower: follow
548,54.900,leader,215.146,follower,205.206,3.797,3.159,9.940,9.268,Leader: cruise | Follower: follow
549,55.000,leader,215.531,follower,205.521,3.854,3.149,10.010,9.252,Leader: cruise | Follower: follow
550,55.100,leader,215.924,follower,205.841,3.929,3.202,10.083,9.342,Leader: cruise | Follower: follow
551,55.200,leader,216.326,follower,206.174,4.019,3.333,10.152,9.567,Leader: cruise | Follower: follow
552,55.300,leader,216.733,follower,206.513,4.073,3.385,10.220,9.659,Leader: cruise | Follower: follow
553,55.400,leader,217.147,follower,206.857,4.135,3.448,10.289,9.769,Leader: cruise | Follower: follow
554,55.500,leader,217.570,follower,207.206,4.230,3.485,10.364,9.834,Leader: cruise | Follower: follow
555,55.600,leader,217.999,follower,207.561,4.294,3.547,10.438,9.945,Leader: cruise | Follower: follow
556,55.700,leader,218.438,follower,207.924,4.394,3.633,10.514,10.099,Leader: cruise | Follower: follow
557,55.800,leader,218.885,follower,208.309,4.466,3.852,10.576,10.501,Leader: cruise | Follower: follow
558,55.900,leader,219.339,follower,208.701,4.542,3.920,10.638,10.628,Leader: cruise | Follower: follow
559,56.000,leader,219.801,follower,209.095,4.623,3.937,10.707,10.658,Leader: cruise | Follower: follow
560,56.100,leader,220.272,follower,209.493,4.703,3.985,10.779,10.749,Leader: cruise | Follower: follow
561,56.200,leader,220.752,follower,209.895,4.801,4.016,10.857,10.808,Leader: cruise | Follower: follow
562,56.300,leader,221.237,follower,210.312,4.853,4.170,10.925,11.103,Leader: cruise | Follower: brake (too close)
563,56.400,leader,221.730,follower,210.716,4.923,4.041,11.013,10.856,Leader: cruise | Follower: follow
564,56.500,leader,222.226,follower,211.145,4.968,4.292,11.081,11.339,Leader: cruise | Follower: brake (too close)
565,56.600,leader,222.726,follower,211.561,4.996,4.159,11.165,11.082,Leader: cruise | Follower: follow
566,56.700,leader,223.222,follower,212.002,4.957,4.413,11.219,11.576,Leader: cruise | Follower: brake (too close)
567,56.800,leader,223.719,follower,212.430,4.974,4.276,11.289,11.308,Leader: cruise | Follower: brake (too close)
568,56.900,leader,224.215,follower,212.844,4.962,4.144,11.371,11.052,Leader: cruise | Follower: follow
569,57.000,leader,224.710,follower,213.274,4.950,4.294,11.436,11.343,Leader: cruise | Follower: follow
570,57.100,leader,225.206,follower,213.719,4.957,4.456,11.486,11.662,Leader: cruise | Follower: brake (too close)
571,57.200,leader,225.704,follower,214.151,4.981,4.318,11.553,11.390,Leader: cruise | Follower: follow
572,57.300,leader,226.203,follower,214.600,4.987,4.489,11.603,11.728,Leader: cruise | Follower: brake (too close)
573,57.400,leader,226.698,follower,215.035,4.958,4.350,11.663,11.453,Leader: cruise | Follower: follow
574,57.500,leader,227.195,follower,215.488,4.969,4.528,11.707,11.807,Leader: cruise | Follower: brake (too close)
575,57.600,leader,227.692,follower,215.927,4.967,4.388,11.765,11.528,Leader: cruise | Follower: follow
576,57.700,leader,228.191,follower,216.382,4.985,4.550,11.809,11.850,Leader: cruise | Follower: brake (too close)
577,57.800,leader,228.686,follower,216.823,4.952,4.409,11.863,11.569,Leader: cruise | Follower: follow
578,57.900,leader,229.185,follower,217.291,4.994,4.681,11.894,12.117,Leader: cruise | Follower: brake (too close)
579,58.000,leader,229.684,follower,217.744,4.989,4.537,11.940,11.823,Leader: cruise | Follower: follow
580,58.100,leader,230.180,follower,218.227,4.962,4.824,11.953,12.409,Leader: cruise | Follower: brake (too close)
581,58.200,leader,230.676,follower,218.694,4.954,4.675,11.981,12.102,Leader: cruise | Follower: brake (too close)
582,58.300,leader,231.175,follower,219.147,4.994,4.530,12.028,11.810,Leader: cruise | Follower: follow
583,58.400,leader,231.675,follower,219.616,4.995,4.685,12.059,12.123,Leader: cruise | Follower: brake (too close)
584,58.500,leader,232.174,follower,220.070,4.989,4.540,12.104,11.830,Leader: cruise | Follower: follow
585,58.600,leader,232.669,follower,220.546,4.958,4.761,12.124,12.279,Leader: cruise | Follower: brake (too close)
586,58.700,leader,233.165,follower,221.007,4.955,4.614,12.158,11.979,Leader: cruise | Follower: follow
587,58.800,leader,233.662,follower,221.488,4.967,4.807,12.174,12.375,Leader: cruise | Follower: brake (too close)
588,58.900,leader,234.157,follower,221.954,4.959,4.658,12.204,12.070,Leader: cruise | Follower: follow
589,59.000,leader,234.657,follower,222.438,4.996,4.842,12.219,12.447,Leader: cruise | Follower: brake (too close)
590,59.100,leader,235.153,follower,222.907,4.958,4.692,12.246,12.138,Leader: cruise | Follower: follow
591,59.200,leader,235.652,follower,223.404,4.994,4.967,12.248,12.709,Leader: cruise | Follower: brake (too close)
592,59.300,leader,236.148,follower,223.885,4.954,4.814,12.262,12.388,Leader: cruise | Follower: brake (too close)
593,59.400,leader,236.648,follower,224.352,4.999,4.665,12.296,12.082,Leader: cruise | Follower: follow
594,59.500,leader,237.143,follower,224.834,4.952,4.818,12.309,12.398,Leader: cruise | Follower: brake (too close)
595,59.600,leader,237.642,follower,225.301,4.988,4.669,12.341,12.092,Leader: cruise | Follower: follow
596,59.700,leader,238.139,follower,225.790,4.976,4.892,12.349,12.552,Leader: cruise | Follower: brake (too close)
597,59.800,leader,238.637,follower,226.264,4.975,4.741,12.373,12.238,Leader: cruise | Follower: follow
598,59.900,leader,239.134,follower,226.754,4.977,4.898,12.381,12.564,Leader: cruise | Follower: brake (too close)
599,60.000,leader,239.632,follower,227.228,4.980,4.746,12.404,12.250,Leader: cruise | Follower: follow
600,60.100,leader,240.131,follower,227.727,4.988,4.990,12.404,12.756,Leader: cruise | Follower: brake (too close)
601,60.200,leader,240.629,follower,228.211,4.976,4.835,12.418,12.433,Leader: cruise | Follower: brake (too close)
602,60.300,leader,241.125,follower,228.679,4.964,4.686,12.446,12.125,Leader: cruise | Follower: follow
603,60.400,leader,241.623,follower,229.169,4.974,4.899,12.453,12.566,Leader: cruise | Follower: brake (too close)
604,60.500,leader,242.121,follower,229.644,4.989,4.748,12.477,12.252,Leader: cruise | Follower: follow
605,60.600,leader,242.618,follower,230.147,4.970,5.028,12.472,12.837,Leader: cruise | Follower: brake (too close)
606,60.700,leader,243.117,follower,230.634,4.985,4.872,12.483,12.510,Leader: cruise | Follower: brake (too close)
607,60.800,leader,243.614,follower,231.106,4.966,4.721,12.507,12.198,Leader: cruise | Follower: follow
608,60.900,leader,244.110,follower,231.595,4.962,4.891,12.515,12.550,Leader: cruise | Follower: brake (too close)
609,61.000,leader,244.608,follower,232.069,4.978,4.740,12.538,12.236,Leader: cruise | Follower: follow
610,61.100,leader,245.105,follower,232.569,4.973,4.995,12.536,12.768,Leader: cruise | Follower: brake (too close)
611,61.200,leader,245.601,follower,233.053,4.957,4.841,12.548,12.444,Leader: cruise | Follower: follow
612,61.300,leader,246.096,follower,233.556,4.957,5.026,12.541,12.834,Leader: cruise | Follower: brake (too close)
613,61.400,leader,246.592,follower,234.043,4.954,4.871,12.549,12.507,Leader: cruise | Follower: follow
614,61.500,leader,247.089,follower,234.548,4.973,5.051,12.541,12.886,Leader: cruise | Follower: brake (too close)
615,61.600,leader,247.589,follower,235.037,5.000,4.895,12.552,12.557,Leader: cruise | Follower: brake (too close)
616,61.700,leader,248.087,follower,235.511,4.977,4.743,12.575,12.243,Leader: cruise | Follower: follow
617,61.800,leader,248.584,follower,236.002,4.970,4.903,12.582,12.574,Leader: cruise | Follower: follow
618,61.900,leader,249.082,follower,236.521,4.980,5.195,12.560,13.194,Leader: cruise | Follower: brake (too close)
619,62.000,leader,249.577,follower,237.025,4.958,5.034,12.553,12.850,Leader: cruise | Follower: brake (too close)
620,62.100,leader,250.076,follower,237.513,4.982,4.878,12.563,12.523,Leader: cruise | Follower: follow
621,62.200,leader,250.572,follower,238.023,4.959,5.105,12.548,13.000,Leader: cruise | Follower: brake (too close)
622,62.300,leader,251.068,follower,238.518,4.967,4.947,12.551,12.666,Leader: cruise | Follower: brake (too close)
623,62.400,leader,251.565,follower,238.997,4.971,4.794,12.568,12.347,Leader: cruise | Follower: follow
624,62.500,leader,252.064,follower,239.504,4.988,5.066,12.560,12.917,Leader: cruise | Follower: brake (too close)
625,62.600,leader,252.564,follower,239.995,4.998,4.909,12.569,12.587,Leader: cruise | Follower: brake (too close)
626,62.700,leader,253.061,follower,240.470,4.967,4.757,12.590,12.272,Leader: cruise | Follower: follow
