step,time_s,vehicle_id,lane_pos_m,speed_mps,leader_of_this_vehicle,gap_to_leader_m,safe_dist_m,action
126,12.700,follower_03,15.772,4.589,follower_02,11.453,11.929,brake (too close to follower_02)
126,12.700,follower_04,5.813,2.316,follower_03,9.959,7.912,follow
127,12.800,leader,52.526,4.957,,,12.688,leader_state:normal
127,12.800,follower_01,39.975,4.765,leader,12.551,12.288,follow
127,12.800,follower_02,27.719,4.945,follower_01,12.256,12.661,brake (too close to follower_01)
127,12.800,follower_03,16.216,4.447,follower_02,11.503,11.645,brake (too close to follower_02)
127,12.800,follower_04,6.071,2.583,follower_03,10.145,8.325,follow
128,12.900,leader,53.026,4.998,,,12.773,leader_state:normal
128,12.900,follower_01,40.473,4.984,leader,12.552,12.744,brake (too close to leader)
128,12.900,follower_02,28.198,4.791,follower_01,12.275,12.342,brake (too close to follower_01)
128,12.900,follower_03,16.647,4.310,follower_02,11.551,11.373,follow
128,12.900,follower_04,6.347,2.755,follower_03,10.300,8.598,follow
129,13.000,leader,53.524,4.989,,,12.755,leader_state:normal
129,13.000,follower_01,40.956,4.830,leader,12.568,12.421,follow
129,13.000,follower_02,28.662,4.643,follower_01,12.294,12.039,follow
129,13.000,follower_03,17.099,4.520,follower_02,11.563,11.790,brake (too close to follower_02)
129,13.000,follower_04,6.648,3.016,follower_03,10.451,9.026,follow
130,13.100,leader,54.021,4.966,,,12.706,leader_state:normal
130,13.100,follower_01,41.463,5.073,leader,12.558,12.932,brake (too close to leader)
130,13.100,follower_02,29.144,4.821,follower_01,12.319,12.403,brake (too close to follower_01)
130,13.100,follower_03,17.537,4.380,follower_02,11.607,11.512,follow
130,13.100,follower_04,6.976,3.274,follower_03,10.561,9.466,follow
131,13.200,leader,54.518,4.974,,,12.724,leader_state:normal
131,13.200,follower_01,41.955,4.916,leader,12.563,12.600,brake (too close to leader)
131,13.200,follower_02,29.612,4.672,follower_01,12.343,12.096,follow
131,13.200,follower_03,18.004,4.668,follower_02,11.607,12.089,brake (too close to follower_02)
131,13.200,follower_04,7.330,3.544,follower_03,10.674,9.940,follow
132,13.300,leader,55.014,4.958,,,12.690,leader_state:normal
132,13.300,follower_01,42.431,4.763,leader,12.583,12.285,follow
132,13.300,follower_02,30.095,4.836,follower_01,12.336,12.436,brake (too close to follower_01)
132,13.300,follower_03,18.456,4.523,follower_02,11.639,11.797,brake (too close to follower_02)
132,13.300,follower_04,7.714,3.835,follower_03,10.743,10.469,follow
133,13.400,leader,55.510,4.956,,,12.685,leader_state:normal
133,13.400,follower_01,42.930,4.984,leader,12.580,12.744,brake (too close to leader)
133,13.400,follower_02,30.564,4.687,follower_01,12.366,12.127,follow
133,13.400,follower_03,18.895,4.383,follower_02,11.669,11.518,follow
133,13.400,follower_04,8.114,4.001,follower_03,10.781,10.780,follow
134,13.500,leader,56.006,4.957,,,12.688,leader_state:normal
134,13.500,follower_01,43.413,4.830,leader,12.593,12.421,follow
134,13.500,follower_02,31.056,4.922,follower_01,12.357,12.614,brake (too close to follower_01)
134,13.500,follower_03,19.359,4.640,follower_02,11.697,12.033,brake (too close to follower_02)
134,13.500,follower_04,8.512,3.984,follower_03,10.847,10.747,follow
135,13.600,leader,56.501,4.953,,,12.679,leader_state:normal
135,13.600,follower_01,43.911,4.984,leader,12.590,12.744,brake (too close to leader)
135,13.600,follower_02,31.533,4.770,follower_01,12.378,12.298,follow
135,13.600,follower_03,19.808,4.497,follower_02,11.725,11.743,brake (too close to follower_02)
135,13.600,follower_04,8.914,4.023,follower_03,10.894,10.820,follow
136,13.700,leader,56.998,4.968,,,12.711,leader_state:normal
136,13.700,follower_01,44.394,4.830,leader,12.604,12.421,follow
136,13.700,follower_02,32.031,4.978,follower_01,12.363,12.730,brake (too close to follower_01)
136,13.700,follower_03,20.244,4.357,follower_02,11.787,11.467,follow
136,13.700,follower_04,9.320,4.057,follower_03,10.924,10.886,follow
